Transcendence_1,PositiveMood_2,Ineffability_3,Mystical_4,Mystical_5,Mystical_6,Transcendence_7,PositiveMood_8,Mystical_9,Ineffability_10,Transcendence_11,PositiveMood_12,Transcendence_13,Mystical_14,Mystical_15,Mystical_16,PositiveMood_17,Mystical_18,Transcendence_19,Mystical_20,Mystical_21,Transcendence_22,Mystical_23,Mystical_24,Mystical_25,Mystical_26,PositiveMood_27,Mystical_28,Ineffability_29,PositiveMood_30,Participant
4,2,3,0,2,3,3,3,2,4,0,2,2,3,1,2,2,3,0,0,3,3,1,0,4,2,3,3,3,4,f6cmay5gj4
5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,3,5,3,3,3,5,5,3,5,5,5vqv1fur3q
3,3,2,3,0,2,2,3,1,2,0,1,0,1,0,0,0,1,1,1,3,0,1,0,4,0,3,0,2,3,m4puwasx9s
3,4,3,4,4,4,3,5,4,3,3,4,4,3,4,4,5,4,3,4,3,4,5,4,5,4,3,4,3,5,wfmbfazspo
3,4,4,5,5,3,3,3,3,4,3,3,3,5,4,4,3,4,4,3,5,5,3,5,3,4,3,2,4,2,wd5oqrlda9
4,4,2,3,1,2,1,,1,1,0,4,4,1,0,1,2,1,2,1,4,3,1,1,2,1,2,2,1,3,a2bgs02tnv
3,4,5,3,2,2,3,3,3,5,2,2,3,3,2,2,2,2,3,1,2,3,2,0,2,2,4,2,4,4,0uy6mt4dw1
4,3,5,4,3,3,1,4,4,5,1,5,4,5,5,3,5,3,1,3,4,3,4,5,2,1,4,4,5,5,1b9wmbny95
5,4,5,4,5,3,5,4,4,5,0,4,5,5,5,4,5,4,4,4,4,5,4,4,,5,4,4,5,5,5yx499vf6w
5,5,5,4,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,ou7w96lx3a
4,3,3,2,2,3,2,4,2,4,1,4,1,4,4,2,4,2,0,4,2,1,1,1,4,3,4,1,4,4,25d19lf049
3,2,3,3,3,2,0,1,4,4,0,3,0,4,4,4,3,3,2,5,3,1,4,4,2,4,2,3,3,3,oylurcca9r
5,2,5,3,5,2,5,0,0,5,5,0,5,4,3,3,,0,0,1,0,5,0,0,0,4,0,1,5,0,2ar665k8ys
2,2,3,0,0,1,0,1,0,3,0,3,1,0,0,0,3,1,0,2,4,1,0,1,1,1,2,1,3,4,rsb00fd6jx
3,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,3hheyrlbx2
2,5,2,4,4,4,5,4,4,2,5,4,5,4,5,4,4,3,4,4,4,4,3,4,4,4,4,3,2,4,6egq8dyp8w
1,4,3,3,2,1,2,2,2,3,0,4,2,0,2,4,2,0,2,4,0,1,0,1,2,0,3,2,4,3,pyfrxedsdb
4,5,4,5,3,5,3,5,5,3,3,5,5,4,5,3,4,4,5,3,4,4,4,5,5,4,5,3,3,5,0kavn59kab
0,1,1,0,0,3,1,2,1,1,0,3,0,0,1,1,2,2,1,2,2,1,1,1,2,1,3,2,2,3,pd9polz932
3,1,3,2,0,0,2,0,0,3,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,xmhqsz55n3
4,4,4,0,3,3,4,3,0,4,4,3,4,0,0,0,2,0,4,0,0,4,0,0,0,0,0,0,4,4,1xc3jgv88j
3,4,3,4,3,3,0,4,4,4,2,4,3,3,4,4,5,3,2,4,4,2,4,4,4,3,4,3,5,4,q3tttl1f8c
3,4,3,4,3,2,3,4,4,4,1,4,3,4,4,4,4,3,2,3,4,2,4,3,3,3,4,3,4,4,qoanceely2
2,1,1,4,3,2,1,2,3,2,3,1,4,4,3,4,1,2,4,1,2,4,2,3,4,3,,3,3,1,8eagbok3l7
0,4,0,2,0,0,0,3,0,0,0,3,0,2,2,0,3,0,0,,2,0,0,0,1,2,3,0,0,3,nrj4ggycce
3,0,5,4,3,0,3,0,4,4,2,0,2,4,4,4,0,3,2,4,4,3,4,4,4,4,0,4,4,0,8j68fx62sj
3,3,4,4,3,3,3,0,4,4,3,0,4,4,4,3,0,4,3,3,4,3,3,3,3,3,0,3,4,0,w0zs5o743w
5,,4,3,2,4,3,,2,4,3,2,1,2,2,2,4,0,1,,1,3,2,,1,2,3,1,4,3,2vkpbdv635
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ue57u9arlj
3,4,3,3,4,4,3,4,3,2,3,4,4,2,3,3,4,3,4,4,2,3,1,1,3,3,4,2,3,3,veqzcl1wep
